variant_raw,customer,anomaly_type,consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,variant_log1p,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
raw,633000,contextual_point,10,153,2023-04-03,0.9603277230432402,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,6.0,log1p,13,153,0.8979594280240832,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,7.0
raw,633000,contextual_point,13,596,2024-06-19,0.9466338259441708,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,18.0,log1p,1,596,0.9805692391899288,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,4.0
raw,633000,contextual_point,15,489,2024-03-04,0.9418137657361796,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,16.0,log1p,10,489,0.9226310207991244,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,11.0
raw,633000,contextual_point,17,486,2024-03-01,0.9369235769020252,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,16.0,log1p,17,486,0.8724120826491516,5,0,dp;zms;units;isolation_forest;calf,,2,units;isolation_forest,5.0
raw,633000,contextual_point,18,311,2023-09-08,0.9280189518336068,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,22.0,log1p,4,311,0.9616858237547892,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,2.0
raw,633000,contextual_point,19,538,2024-04-22,0.9248426382047072,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,5.0,log1p,7,538,0.944456417624521,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,4.0
raw,633000,contextual_point,20,391,2023-11-27,0.9106561302681992,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,15.0,log1p,9,391,0.9246202791461412,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,8.0
raw,633000,contextual_point,21,55,2022-12-26,0.8972752463054187,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,9.0,log1p,47,55,0.7729594280240832,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,10.0
raw,633000,contextual_point,22,561,2024-05-15,0.8906865763546798,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,23.0,log1p,39,561,0.7810464559386973,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,633000,contextual_point,24,134,2023-03-15,0.8731424466338259,5,0,dp;zms;units;isolation_forest;calf,,1,units,17.0,log1p,22,134,0.8304854269293924,5,0,dp;zms;units;isolation_forest;calf,,2,isolation_forest;calf,41.0
raw,633000,contextual_point,30,342,2023-10-09,0.8347307744937055,5,0,dp;zms;units;isolation_forest;calf,,0,,,log1p,12,342,0.9187534209085934,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,14.0
raw,633000,contextual_point,31,461,2024-02-05,0.8232895457033387,5,0,dp;zms;units;isolation_forest;calf,,1,units,42.0,log1p,16,461,0.877801724137931,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,11.0
raw,633000,contextual_point,33,27,2022-11-28,0.8222188013136289,5,0,dp;zms;units;isolation_forest;calf,,1,zms,49.0,log1p,50,27,0.7572215380405035,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,21.0
raw,633000,contextual_point,37,594,2024-06-17,0.8078817733990148,3,2,dp;zms;isolation_forest,units;calf,0,,,log1p,21,594,0.8308702791461412,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,23.0
raw,633000,contextual_point,38,7,2022-11-08,0.807067597153804,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,35.0,log1p,40,7,0.7805555555555556,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,13.0
